experiment,topology,init,final_time,final_total_patches,final_W_0,final_W_1,final_W_2,final_BB_fraction
baseline,smooth,concentrated,42.19513630478751,66802,0.0211177098118315,0.6591373323994221,0.319744957788711,
baseline,smooth,concentrated,37.648561684438846,25963,0.0214628544695378,0.6724247808642942,0.306112364666175,
baseline,cluster,concentrated,37.93143519223643,19573,0.0306589060334425,0.7044970318981592,0.2648440620683994,
baseline,cluster,uniform,35.620504454980015,23459,0.0223696103557473,0.5208960857209846,0.4567343039232631,
intelligence,rugged,uniform,50.331192443098544,35598,0.0082563522592201,0.460344983133837,0.5313986646069234,
intelligence,cluster,uniform,51.411243349750436,70106,0.004181920174526041,0.25499203771423185,0.7408260421112707,
