experiment,topology,init,final_time,final_W_0,final_W_1,final_W_2,final_total_patches
baseline,cluster,uniform,35.620504454980015,0.02236961035574732,0.5208960857209846,0.45673430392326314,23459.0
intelligence,cluster,uniform,51.411243349750436,0.004181920174526041,0.25499203771423185,0.7408260421112707,70106.0
